x/D=2,,,,,,x/D=4,,,,,,x/D=6,,,,,,x/D=8,,,,,,x/D=16,,,,,,
u/u0,v/u0,sqrt(k)/u0,Y_H2,Y_OH,Y_HO2,u/u0,v/u0,sqrt(k)/u0,Y_H2,Y_OH,Y_HO2,u/u0,v/u0,sqrt(k)/u0,Y_H2,Y_OH,Y_HO2,u/u0,v/u0,sqrt(k)/u0,Y_H2,Y_OH,Y_HO2,u/u0,v/v0,sqrt(k)/u0,Y_H2,Y_OH,Y_HO2,y/D
0.3176470588235294,-1.11E-16,0.20000000000000007,0.24875621890547273,0.000594059,0.000180444,0.3999999999999999,0.010309278350515427,0.1764705882352946,0.9999999999999996,0,0,0.6823529411764699,0,0.16862745098039245,0.23880597014925398,0.000358209,3.56877E-05,0.6705882352941188,0.010204081632654294,0.1333333333333333,0.16336633663366307,0.00029703,5.64706E-05,0.4941176470588182,0,0.12941176470588855,0.11386138613861352,0.000445545,5.51111E-05,0
0.5058823529411767,0.8659793814432991,0.29411764705882376,0,0.000386139,8.88889E-06,0.7882352941176469,0.5051546391752577,0.20784313725490233,0.9899999999999998,-1.73E-18,2.14126E-05,0.8352941176470585,0.35714285714285676,0.16862745098039245,1,3.469446951953614e-18,0,0.882352941,0.2857142857142865,0.1450980392156871,0.34158415841584144,0.000386139,0.000187059,0.9176470588235262,0.072164948,0.098039216,0.3168316831683162,0.000445545,0.000195556,1
1.105882352941176,0.30927835051546404,0.1529411764705883,0,8.673617379884035e-19,0,0.9294117647058826,0.12371134020618557,0.2235294117647062,0.19499999999999984,0.00108,0.000106171,0.7647058823529402,0.1938775510204085,0.21960784313725457,0.6616915422885565,0.000238806,0.000231078,0.7764705882352949,0.24489795918367463,0.20392156862745248,0.8168316831683162,0.000178218,8.73529E-05,0.9176470588235262,0.20618556701030855,0.12549019607843137,0.5346534653465351,0.000386139,0.000209778,2
0.9647058823529409,0.24742268041237103,0.12549019607843137,0,0,0,1.2000000000000002,0.082474227,0.14901960784313717,0,3E-05,0,1.2117647058823522,0.071428571,0.1411764705882348,0.089552239,0.000626866,6.24535E-05,1.1411764705882366,0.081632653,0.14901960784313717,0.33168316831683153,0.000386139,0.000183529,0.9176470588235244,0.13402061855670055,0.13725490196078427,0.35148514851485224,0.000326733,0.000176,3
0.8235294117647056,0.22680412371134018,0.043137255,0,0,0,0.9764705882352942,0.10309278350515472,0.062745098,0,0,0,1.0470588235294116,0.010204081632652517,0.078431373,0,3.469446951953614e-18,0,1.0588235294117663,0,0.082352941,0.059405941,0.000386139,3.35294E-05,1.0117647058823458,0.051546392,0.078431373,0.089108911,0.000356436,6.31111E-05,4
0.8352941176470587,0.1958762886597939,0.047058823529411875,0,0,0,0.8941176470588239,0.14432989690721643,0.023529412,0,0,0,0.9764705882352942,0.051020408163264364,0.031372549,0,0,0,1.0117647058823547,-0.010204082,0.035294118,0.004950495,0,1.76471E-06,0.9999999999999947,0.020618557,0.043137254901961075,0.004950495,2.9703E-05,2.66667E-06,5
1.0117647058823527,-0.020618557,5.551115123125783e-17,0,0,0,0.8705882352941172,0.1752577319587627,0.019607843137255054,0,0,0,0.9411764705882355,0.10204081632652962,0.011764705882353121,0,0,0,0.9882352941176471,0.030612244897960217,0.011764706,0,0,0,0.9882352941176453,0.010309278350517204,0.015686274509803866,0,0,0,6
1.011764705882353,-0.020618557,0,0,0,0,0.9764705882352942,0.030927835051546282,0.043137255,0,0,0,0.9176470588235297,0.13265306122448983,0.011764705882352677,0,0,0,0.9647058823529413,0.071428571,0.003921569,0,0,0,0.9999999999999947,-0.010309278,0.011764705882353343,0,0,0,7
1,0,0,0,0,0,1,-0.010309278,0,0,0,0,0.9058823529411759,0.14285714285714324,0.019607843137254832,0,0,0,0.9411764705882355,0.10204081632653139,0,0,0,0,1,0,0.011764705882353343,0,0,0,8
1,0,0,0,0,0,1,-0.010309278,0,0,0,0,1,-0.010204082,0.003921569,0,0,0,0.9294117647058826,0.1224489795918382,0,0,0,0,1,0,0,0,0,0,9
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0000000000000018,0,0,0,0,0,1,0,0,0,0,0,10
