,Bouheraoua,Boivin,Moule,,Exp
x/D,T,T,T,x/D,T
2,626.4536386,603.6505534,532.6613914,0.85,622.1
4,640.9582157,752.3253247,550.7113758,10.8,555.8
6,710.199254,840.5805837,588.2750373,21.5,1364.1
8,771.9206196,927.2637541,634.5043801,33.3,1759.6
10,888.5945502,986.8340962,754.9603917,43.1,2214.1
12,977.7657926,1034.270124,756.103522,,
14,985.5337401,1076.88178,800.8736953,,
16,1037.516165,1087.671712,856.9389273,,
18,1094.369577,1114.529915,961.3034404,,
20,1175.50016,1130.259515,1104.268864,,
22,1351.062177,1150.526531,1254.554816,,
24,1474.369156,1396.363499,1357.257487,,
26,1641.872278,1969.696386,1374.965014,,
28,1689.952336,2079.40707,1372.482136,,
30,1749.147777,2128.375698,1472.124879,,
32,1741.624635,2223.021999,1558.541609,,
34,1769.093737,2328.974922,1644.992251,,
36,1951.094627,2390.896213,1656.808372,,
38,1978.152699,2390.57097,1564.062014,,
40,1932.231176,2364.520502,1535.494725,,
42,1890.439348,2314.311025,1511.309443,,
44,1825.39858,2258.049465,1564.801721,,
46,1886.797486,2170.577048,1535.469767,,
48,1865.146269,2079.925311,1467.348235,,
