y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-9.04,316.4,23.3,0.2063,0.0113,0.7677,0.0357,0.024,0.0069,0,0,0,0,0,0
-8.61,317,34.1,0.2053,0.0112,0.7685,0.0357,0.0242,0.0072,0,0,0,0,0,0
-8.18,336.4,100,0.2057,0.012,0.7676,0.0364,0.0243,0.0074,0,0,0,0,0,0
-7.75,327.7,75.1,0.2051,0.0114,0.7681,0.0358,0.0248,0.0075,0,0,0,0,0,0
-7.32,341,97.5,0.205,0.0117,0.7668,0.0361,0.0261,0.0083,0,0,0,0,0,0
-6.89,365.8,135.1,0.2036,0.0123,0.7658,0.0371,0.0282,0.01,0,0,0,0,0.00001,0.00026
-6.46,390.8,155,0.2036,0.0121,0.7639,0.0364,0.0305,0.0125,0,0,0,0,0,0
-6.03,481.5,219.2,0.2027,0.0124,0.7576,0.0378,0.0377,0.0179,0,0,0,0,0,0
-5.6,588.4,247.6,0.1998,0.0127,0.7519,0.0395,0.0463,0.0226,0,0,0,0,0,0
-5.17,689.9,240.9,0.1972,0.0138,0.7445,0.041,0.0564,0.027,0,0,0,0,0,0
-4.74,835.3,206.8,0.1936,0.014,0.7279,0.044,0.0764,0.034,0,0,0,0,0,0
-4.31,948,178.1,0.19,0.0146,0.7095,0.0473,0.0985,0.0405,0,0,0,0,0,0
-3.87,1058.5,149.7,0.1857,0.0151,0.6888,0.0499,0.1235,0.0446,0,0,0,0,0,0
-3.44,1176.1,172.6,0.1799,0.0154,0.6623,0.0532,0.1558,0.0502,0,0,0,0,0.00001,0.00013
-3.01,1269.4,168,0.1751,0.0168,0.6385,0.0543,0.1844,0.0542,0,0,0,0,0.00006,0.00035
-2.58,1400.6,203.8,0.1668,0.0198,0.6179,0.055,0.2132,0.0541,0,0,0.0001,0.0004,0.00031,0.00097
-2.15,1474.7,165,0.16,0.0185,0.6039,0.0503,0.2339,0.0499,0,0,0.0003,0.0005,0.00052,0.00116
-1.72,1511.2,153.2,0.1566,0.0171,0.5919,0.0502,0.2491,0.0479,0,0,0.0004,0.0006,0.00093,0.0015
-1.29,1545.8,147.8,0.1551,0.0173,0.5993,0.045,0.2436,0.0459,0.0008,0.0117,0.0007,0.0008,0.00075,0.00171
-0.86,1542.7,179.7,0.1403,0.0418,0.4813,0.1045,0.2715,0.0673,0.0734,0.1671,0.0015,0.0021,0.0166,0.03246
-0.43,1375,288.9,0.0872,0.0487,0.3658,0.1445,0.1579,0.0679,0.3878,0.2427,0.0005,0.0013,0.06303,0.05039
0,1364.1,372.2,0.0505,0.0378,0.2696,0.0794,0.1358,0.0602,0.5415,0.1401,0.0005,0.0021,0.09688,0.0407
0.43,1670.9,312.2,0.055,0.0342,0.3765,0.1298,0.2205,0.0962,0.3436,0.1898,0.0036,0.0053,0.05444,0.03458
0.86,1917.3,271.6,0.0812,0.0454,0.4202,0.0965,0.3691,0.1006,0.1151,0.1597,0.0125,0.0098,0.03215,0.02542
1.29,1910.5,209.6,0.1131,0.0414,0.5005,0.0647,0.3631,0.0729,0.0119,0.0547,0.0109,0.0076,0.01405,0.01031
1.72,1807.8,188.3,0.1386,0.0155,0.5238,0.0544,0.3306,0.0567,0.0002,0.0033,0.0049,0.0034,0.00884,0.00511
2.15,1760.1,184,0.1256,0.0155,0.6127,0.0457,0.2589,0.0459,0,0,0.0022,0.0015,0.00129,0.00194
2.58,1715,209.5,0.1329,0.0158,0.6212,0.0455,0.2422,0.0431,0,0,0.0018,0.0015,0.0006,0.00121
3.01,1658.5,198.5,0.1436,0.0169,0.6267,0.0483,0.2279,0.0449,0,0,0.0013,0.0013,0.00036,0.00099
3.44,1551.4,224.1,0.1547,0.0178,0.6362,0.0498,0.2064,0.0462,0,0,0.0007,0.0011,0.0001,0.00045
3.87,1413.2,194.7,0.1689,0.0189,0.652,0.0558,0.1783,0.0485,0,0,0.0002,0.0006,0.00004,0.00035
4.31,1290.9,177.6,0.1769,0.0192,0.6721,0.0556,0.149,0.043,0,0,0,0.0003,0,0.00002
4.74,1168.8,170.2,0.1849,0.0161,0.6963,0.0513,0.118,0.0392,0.0003,0.0001,0,0.0002,0.00004,0.00171
5.17,970.4,160.3,0.1919,0.0155,0.7389,0.0483,0.0687,0.0261,0,0,0,0,0,0
5.6,882.3,192.1,0.1927,0.0131,0.7512,0.0476,0.0541,0.0205,0,0,0,0,0,0
6.03,777.3,228.4,0.1957,0.0133,0.7594,0.0464,0.0444,0.0179,0,0,0,0,0,0
6.46,669.7,253.5,0.1985,0.0133,0.7637,0.0438,0.0358,0.0135,0,0,0,0,0,0
6.89,579.4,248.3,0.1989,0.0131,0.7702,0.0394,0.0289,0.0098,0,0,0,0,0,0
7.32,499.4,231.5,0.2002,0.0126,0.7729,0.0371,0.025,0.007,0,0,0,0,0,0
7.75,459.5,211.1,0.2005,0.0124,0.7749,0.036,0.0226,0.005,0,0,0,0,0,0
8.18,459.9,213,0.1975,0.0125,0.78,0.036,0.0219,0.0041,0,0,0,0,0,0
8.61,469.2,218.8,0.1943,0.012,0.7821,0.0361,0.0216,0.0037,0,0,0,0,0,0
9.04,440.7,203.9,0.1952,0.012,0.7817,0.0361,0.0211,0.0035,0,0,0,0,0,0
9.47,453.3,208.5,0.1939,0.0119,0.7828,0.0362,0.0214,0.0036,0,0,0,0,0,0
